"rain_location","rain_datetime","replicate","analysis","concentration","data_qualifier","comments"
"MS",2011-11-05,1,"ClD_LACHAT",2.46,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-11-05,1,"DOC_TOC",4.147,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-11-05,1,"NO3T_TOC_TN",0.973,NA,"RAIN"
"MS",2011-11-05,1,"NO3T_TRAACS",1.412,NA,"6.1.RAIN"
"MS",2011-11-05,1,"PO4D_LACHAT",0.146,NA,"RAIN"
"MS",2011-11-05,1,"PO4T_TRAACS",0.25,NA,"RAIN"
"MS",2011-11-07,1,"ClD_LACHAT",1.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-11-07,1,"NO3T_TRAACS",0.615,NA,"6.1.RAIN"
"MS",2011-11-07,1,"PO4D_LACHAT",0.0257,NA,"RAIN"
"MS",2011-11-13,1,"ClD_LACHAT",0.904,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-11-13,1,"DOC_TOC",1.987,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-11-13,1,"NO3T_TOC_TN",0.992,NA,"RAIN"
"MS",2011-11-13,1,"NO3T_TRAACS",1.102,NA,"6.1.RAIN"
"MS",2011-11-13,1,"PO4D_LACHAT",0.0337,NA,"RAIN"
"MS",2011-11-21,1,"ClD_LACHAT",1.48,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-11-21,1,"NO3T_TRAACS",1.742,NA,"6.1.RAIN"
"MS",2011-11-21,1,"PO4D_LACHAT",0.0969,NA,"RAIN"
"MS",2011-12-13,1,"ClD_LACHAT",0.772,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-12-13,1,"NO3T_TRAACS",0.634,NA,"6.1.RAIN"
"MS",2011-12-13,1,"PO4D_LACHAT",0.00653,NA,"RAIN"
"MS",2011-12-13,1,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-12-13,2,"CaD_ICP",-0.0043,"The reported value falls below the Method Detection Limits (MDL).  Note this flag is similar to X but the value reported is the analysis output, not the MDL.",NA
"MS",2011-12-13,2,"ClD_LACHAT",0.564,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-12-13,2,"DOC_TOC",1.648,NA,NA
"MS",2011-12-13,2,"NaD_ICP",0.1198,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"MS",2011-12-13,2,"NO3T_TOC_TN",0.4752,NA,NA
"MS",2011-12-13,2,"NO3T_TRAACS",0.524,NA,"6.2.RAIN"
"MS",2011-12-13,2,"PO4D_LACHAT",0.00682,NA,"RAIN"
"MS",2011-12-13,2,"PO4T_TRAACS",0,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2011-12-13,2,"ZnD_ICP",0.018,NA,NA
"MS",2012-03-18,1,"ClD_LACHAT",0.926,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2012-03-18,1,"DOC_TOC",2.517,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2012-03-18,1,"NH4_LACHAT",0.489,NA,"RAIN"
"MS",2012-03-18,1,"NO3D_LACHAT",0.105,NA,"RAIN"
"MS",2012-03-18,1,"NO3T_TOC_TN",0.7226,NA,"RAIN"
"MS",2012-03-18,1,"PO4D_LACHAT",0.0522,NA,"RAIN"
"MS",2012-03-18,1,"PO4T_TRAACS",0.11,NA,"RAIN"
"MS",2012-03-18,2,"ClD_LACHAT",2.16,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MS",2012-03-18,2,"NH4_LACHAT",0.906,NA,"RAIN"
"MS",2012-03-18,2,"NO3D_LACHAT",0.219,NA,"RAIN"
"MS",2012-03-18,2,"PO4D_LACHAT",0.095,NA,"RAIN"
"MS",2012-07-30,1,"DOC_TOC",2.797,NA,"RAIN"
"MS",2012-07-30,1,"NH4_LACHAT",1.27,NA,"Rain"
"MS",2012-07-30,1,"NO3D_LACHAT",0.49,NA,"Rain"
"MS",2012-07-30,1,"NO3T_TOC_TN",1.806,NA,"RAIN"
"PIE",2011-11-05,1,"ClD_LACHAT",1.74,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-11-05,1,"DOC_TOC",6.384,NA,"RAIN"
"PIE",2011-11-05,1,"NO3T_TOC_TN",0.678,NA,"RAIN"
"PIE",2011-11-05,1,"NO3T_TRAACS",1.52,NA,"4.1.RAIN"
"PIE",2011-11-05,1,"PO4D_LACHAT",0.0377,NA,"RAIN"
"PIE",2011-11-05,1,"PO4T_TRAACS",0.13,NA,"RAIN"
"PIE",2011-11-07,1,"ClD_LACHAT",1.06,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-11-07,1,"NO3T_TRAACS",0.532,NA,"4.1.RAIN"
"PIE",2011-11-07,1,"PO4D_LACHAT",0.0209,NA,"RAIN"
"PIE",2011-11-13,1,"ClD_LACHAT",1.37,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-11-13,1,"DOC_TOC",3.058,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-11-13,1,"NO3T_TOC_TN",1.636,NA,"RAIN"
"PIE",2011-11-13,1,"NO3T_TRAACS",3.604,NA,"4.1.RAIN"
"PIE",2011-11-13,1,"PO4D_LACHAT",0.0477,NA,"RAIN"
"PIE",2011-12-13,2,"CaD_ICP",0.0366,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"PIE",2011-12-13,2,"ClD_LACHAT",0.7,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-12-13,2,"DOC_TOC",1.252,NA,NA
"PIE",2011-12-13,2,"NaD_ICP",0.1759,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"PIE",2011-12-13,2,"NO3T_TOC_TN",0.2969,NA,NA
"PIE",2011-12-13,2,"NO3T_TRAACS",0.332,NA,"4.2.RAIN"
"PIE",2011-12-13,2,"PO4D_LACHAT",0.00174,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-12-13,2,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2011-12-13,2,"ZnD_ICP",0.0223,NA,NA
"PIE",2012-03-18,1,"ClD_LACHAT",1.62,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2012-03-18,1,"DOC_TOC",6.85,NA,"RAIN"
"PIE",2012-03-18,1,"NH4_LACHAT",0.486,NA,"RAIN"
"PIE",2012-03-18,1,"NO3D_LACHAT",0.182,NA,"RAIN"
"PIE",2012-03-18,1,"NO3T_TOC_TN",0.9454,NA,"RAIN"
"PIE",2012-03-18,1,"PO4D_LACHAT",-0.0925,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2012-03-18,1,"PO4T_TRAACS",0.06,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2012-03-18,2,"ClD_LACHAT",2.76,NA,"RAIN"
"PIE",2012-03-18,2,"NH4_LACHAT",0.688,NA,"RAIN"
"PIE",2012-03-18,2,"NO3D_LACHAT",0.212,NA,"RAIN"
"PIE",2012-03-18,2,"PO4D_LACHAT",0.0602,NA,"RAIN"
"PIE",2012-07-04,1,"NH4_LACHAT",1.77,NA,"Rain"
"PIE",2012-07-04,1,"NO3D_LACHAT",0.88,NA,"Rain"
"PIE",2012-07-04,1,"NO3T_TRAACS",3.71,NA,"Rain"
"PIE",2012-07-14,1,"CaD_ICP",0.7671,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"PIE",2012-07-14,1,"DOC_TOC",1.982,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"PIE",2012-07-14,1,"NaD_ICP",0.2733,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"PIE",2012-07-14,1,"NH4_LACHAT",1.22,NA,"Rain"
"PIE",2012-07-14,1,"NO3D_LACHAT",0.53,NA,"Rain"
"PIE",2012-07-14,1,"NO3T_TOC_TN",1.839,NA,"RAIN"
"PIE",2012-07-14,1,"NO3T_TRAACS",1.96,NA,"Rain"
"PIE",2012-07-14,1,"PO4T_TRAACS",0.03,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","Rain"
"PIE",2012-07-14,1,"ZnD_ICP",0.0979,NA,NA
"PIE",2012-07-30,1,"DOC_TOC",2.693,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","Rain"
"PIE",2012-07-30,1,"NH4_LACHAT",1.74,NA,"Rain"
"PIE",2012-07-30,1,"NO3D_LACHAT",0.75,NA,"Rain"
"PIE",2012-07-30,1,"NO3T_TOC_TN",2.398,NA,"Rain"
"SGC",2011-11-05,1,"ClD_LACHAT",1.67,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-11-05,1,"DOC_TOC",1.813,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-11-05,1,"NO3T_TOC_TN",0.502,NA,"RAIN"
"SGC",2011-11-05,1,"NO3T_TRAACS",0.63,NA,"10.1.RAIN"
"SGC",2011-11-05,1,"PO4D_LACHAT",0.0293,NA,"RAIN"
"SGC",2011-11-05,1,"PO4T_TRAACS",0.1,NA,"RAIN"
"SGC",2011-11-07,1,"ClD_LACHAT",0.93,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-11-07,1,"PO4D_LACHAT",0.0104,NA,"RAIN"
"SGC",2011-11-13,1,"ClD_LACHAT",1.2,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-11-13,1,"DOC_TOC",1.509,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-11-13,1,"NO3T_TOC_TN",0.9781,NA,"RAIN"
"SGC",2011-11-13,1,"NO3T_TRAACS",1.064,NA,"10.1.RAIN"
"SGC",2011-11-13,1,"PO4D_LACHAT",0.0147,NA,"RAIN"
"SGC",2011-12-13,1,"CaD_ICP",0.0728,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"SGC",2011-12-13,1,"ClD_LACHAT",0.71,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-12-13,1,"NaD_ICP",0.4103,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"SGC",2011-12-13,1,"NO3T_TRAACS",0.464,NA,"10.1.RAIN"
"SGC",2011-12-13,1,"PO4D_LACHAT",0.00657,NA,"RAIN"
"SGC",2011-12-13,1,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-12-13,1,"ZnD_ICP",0.0498,NA,NA
"SGC",2011-12-13,2,"ClD_LACHAT",0.757,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-12-13,2,"NO3T_TRAACS",0.364,NA,"10.2.RAIN"
"SGC",2011-12-13,2,"PO4D_LACHAT",0.0018,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2011-12-13,2,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2012-03-18,1,"ClD_LACHAT",1.45,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2012-03-18,1,"DOC_TOC",3.857,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2012-03-18,1,"NH4_LACHAT",0.412,NA,"RAIN"
"SGC",2012-03-18,1,"NO3D_LACHAT",0.136,NA,"RAIN"
"SGC",2012-03-18,1,"NO3T_TOC_TN",0.6039,NA,"RAIN"
"SGC",2012-03-18,1,"PO4D_LACHAT",0.00543,NA,"RAIN"
"SGC",2012-03-18,1,"PO4T_TRAACS",0.11,NA,"RAIN"
"SGC",2012-03-18,2,"ClD_LACHAT",1.61,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2012-03-18,2,"NH4_LACHAT",0.65,NA,"RAIN"
"SGC",2012-03-18,2,"NO3D_LACHAT",0.19,NA,"RAIN"
"SGC",2012-03-18,2,"PO4D_LACHAT",0.0317,NA,"RAIN"
"SGC",2012-07-30,1,"DOC_TOC",2.066,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SGC",2012-07-30,1,"NH4_LACHAT",1.21,NA,"Rain"
"SGC",2012-07-30,1,"NO3D_LACHAT",0.53,NA,"Rain"
"SGC",2012-07-30,1,"NO3T_TOC_TN",1.74,NA,"RAIN"
"SW",2011-09-10,1,"PO4T_TRAACS",0.23,NA,"RAIN"
"SW",2011-11-05,1,"ClD_LACHAT",1.82,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-11-05,1,"DOC_TOC",2.925,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-11-05,1,"NO3T_TOC_TN",0.698,NA,"RAIN"
"SW",2011-11-05,1,"NO3T_TRAACS",1.242,NA,"7.1.RAIN"
"SW",2011-11-05,1,"PO4D_LACHAT",0.0179,NA,"RAIN"
"SW",2011-11-05,1,"PO4T_TRAACS",0.21,NA,"RAIN"
"SW",2011-11-07,1,"ClD_LACHAT",1.04,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-11-07,1,"NO3T_TRAACS",0.446,NA,"7.1.RAIN"
"SW",2011-11-07,1,"PO4D_LACHAT",0.00583,NA,"RAIN"
"SW",2011-11-07,1,"PO4T_TRAACS",0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-11-13,1,"ClD_LACHAT",1.2,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-11-13,1,"DOC_TOC",1.572,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-11-13,1,"NO3T_TOC_TN",0.9263,NA,"RAIN"
"SW",2011-11-13,1,"NO3T_TRAACS",0.996,NA,"7.1.RAIN"
"SW",2011-11-13,1,"PO4D_LACHAT",0.0106,NA,"RAIN"
"SW",2011-12-13,1,"ClD_LACHAT",0.878,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-12-13,1,"NO3T_TRAACS",0.342,NA,"7.1.RAIN"
"SW",2011-12-13,1,"PO4D_LACHAT",0.00647,NA,"RAIN"
"SW",2011-12-13,1,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-12-13,2,"CaD_ICP",0.005,"The reported value falls below the Method Detection Limits (MDL).  Note this flag is similar to X but the value reported is the analysis output, not the MDL.",NA
"SW",2011-12-13,2,"DOC_TOC",1.145,NA,NA
"SW",2011-12-13,2,"NaD_ICP",0.0983,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"SW",2011-12-13,2,"NO3T_TOC_TN",0.3719,NA,NA
"SW",2011-12-13,2,"NO3T_TRAACS",0.368,NA,"7.2.RAIN"
"SW",2011-12-13,2,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2011-12-13,2,"ZnD_ICP",0.0105,NA,NA
"SW",2012-03-18,1,"ClD_LACHAT",1.15,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2012-03-18,1,"DOC_TOC",13.87,NA,"RAIN"
"SW",2012-03-18,1,"NH4_LACHAT",0.541,NA,"RAIN"
"SW",2012-03-18,1,"NO3D_LACHAT",0.16,NA,"RAIN"
"SW",2012-03-18,1,"NO3T_TOC_TN",0.8803,NA,"RAIN"
"SW",2012-03-18,1,"PO4D_LACHAT",0.0423,NA,"RAIN"
"SW",2012-03-18,1,"PO4T_TRAACS",0.08,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2012-03-18,2,"ClD_LACHAT",2.99,NA,"RAIN"
"SW",2012-03-18,2,"NH4_LACHAT",0.843,NA,"RAIN"
"SW",2012-03-18,2,"NO3D_LACHAT",0.244,NA,"RAIN"
"SW",2012-03-18,2,"PO4D_LACHAT",0.0444,NA,"RAIN"
"SW",2012-07-30,1,"DOC_TOC",2.126,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"SW",2012-07-30,1,"NH4_LACHAT",2.45,NA,"Rain"
"SW",2012-07-30,1,"NO3D_LACHAT",0.49,NA,"Rain"
"SW",2012-07-30,1,"NO3T_TOC_TN",2.866,NA,"RAIN"
